cou,sex,year,value,fillKey
SVK,WOMEN,2011,50.1,50-60
SVK,WOMEN,2012,50.7,50-60
SVK,WOMEN,2013,51.0,50-60
SVK,WOMEN,2014,51.1,50-60
SVN,WOMEN,2000,51.5,50-60
SVN,WOMEN,2001,51.6,50-60
SVN,WOMEN,2002,51.1,50-60
SVN,WOMEN,2003,50.0,50-60
SVN,WOMEN,2004,52.5,50-60
SVN,WOMEN,2005,52.9,50-60
SVN,WOMEN,2006,53.3,50-60
SVN,WOMEN,2007,53.3,50-60
SVN,WOMEN,2008,53.5,50-60
SVN,WOMEN,2009,53.6,50-60
SVN,WOMEN,2010,53.3,50-60
SVN,WOMEN,2011,52.3,50-60
SVN,WOMEN,2012,52.2,50-60
SVN,WOMEN,2013,51.6,50-60
SVN,WOMEN,2014,52.2,50-60
SWE,WOMEN,2000,67.5,60-70
SWE,WOMEN,2001,68.2,60-70
SWE,WOMEN,2002,68.2,60-70
SWE,WOMEN,2003,68.1,60-70
SWE,WOMEN,2004,67.9,60-70
SWE,WOMEN,2005,68.8,60-70
SWE,WOMEN,2006,69.0,60-70
SWE,WOMEN,2007,68.3,60-70
SWE,WOMEN,2008,68.3,60-70
SWE,WOMEN,2009,67.6,60-70
SWE,WOMEN,2010,67.1,60-70
SWE,WOMEN,2011,67.9,60-70
SWE,WOMEN,2012,68.3,60-70
SWE,WOMEN,2013,68.7,60-70
SWE,WOMEN,2014,69.1,60-70
TUR,WOMEN,2000,26.6,20-30
TUR,WOMEN,2001,27.1,20-30
TUR,WOMEN,2002,27.9,20-30
TUR,WOMEN,2003,26.6,20-30
TUR,WOMEN,2004,23.3,20-30
TUR,WOMEN,2005,23.3,20-30
TUR,WOMEN,2006,23.6,20-30
TUR,WOMEN,2007,23.6,20-30
TUR,WOMEN,2008,24.5,20-30
TUR,WOMEN,2009,26.0,20-30
TUR,WOMEN,2010,27.6,20-30
TUR,WOMEN,2011,28.8,20-30
TUR,WOMEN,2012,29.5,20-30
TUR,WOMEN,2013,30.8,30-40
TUR,WOMEN,2014,30.3,30-40
